,0,1,2
165,DENTSPLY SIRONA Inc.,XRAY,
166,DISH Network Corporation,DISH,
167,DTE Energy Company,DTE,
168,DXC Technology Company,DXC,
169,DaVita Inc.,DVA,
170,Danaher Corporation,DHR,
171,"Darden Restaurants, Inc.",DRI,
172,Deere & Company,DE,
173,Dell EMC,DELL,
174,"Delta Air Lines, Inc.",DAL,
175,Devon Energy Corporation,DVN,
176,"DexCom, Inc.",DXCM,
177,"Diamond Offshore Drilling, Inc.",DO,
178,"Diamondback Energy, Inc.",FANG,
179,"Digital Realty Trust, Inc.",DLR,
180,Discover Financial Services,DFS,
181,Dollar General Corporation,DG,
182,"Dollar Tree, Inc.",DLTR,
183,"Dominion Energy, Inc.",D,
184,"Domino's Pizza, Inc.",DPZ,
185,Dover Corporation,DOV,
186,Dow Inc.,DOW,
187,"Dr Pepper Snapple Group, Inc.",KDP,
188,"DuPont de Nemours, Inc.",DD,
189,Duke Energy Corporation,DUK,
190,Duke Realty Corporation,DRE,Y
191,"Dun & Bradstreet Holdings, Inc.",DNB,
192,"E*TRADE Financial, LLC",ETFC,
193,"EIDP, Inc.",CTA-A,
194,"EOG Resources, Inc.",EOG,
195,"EPAM Systems, Inc.",EPAM,
196,EQT Corporation,EQT,
197,Eastman Chemical Company,EMN,
198,Ecolab Inc.,ECL,
199,Edison International,EIX,
200,Edwards Lifesciences Corporation,EW,
201,Electronic Arts Inc.,EA,
202,"Elevance Health, Inc.",ELV,
203,Eli Lilly and Company,LLY,
204,Emerson Electric Co.,EMR,
205,"Endo, Inc.",NDOI,Y
206,"Enphase Energy, Inc.",ENPH,
207,Entergy Corporation,ETR,
208,Envision Healthcare Corporation,EVHC,
209,Equifax Inc.,EFX,
210,"Equinix, Inc.",EQIX,
211,Equity Residential,EQR,
212,"Essex Property Trust, Inc.",ESS,
213,"Etsy, Inc.",ETSY,
214,"Everest Group, Ltd.",EG,
215,"Evergy, Inc.",EVRG,
216,"Evernorth Health, Inc.",CI,Y
217,Eversource Energy,ES,
218,Exelon Corporation,EXC,
219,Expand Energy Corporation,EXE,
220,"Expedia Group, Inc.",EXPE,
221,Extra Space Storage Inc.,EXR,
222,Exxon Mobil Corporation,XOM,
223,"F5, Inc.",FFIV,
224,FMC Corporation,FMC,
225,"FMC Technologies, Inc.",FTI,
226,FactSet Research Systems Inc.,FDS,
227,Fair Isaac Corporation,FICO,
228,Fastenal Company,FAST,
229,FedEx Corporation,FDX,
230,Federal Realty Investment Trust,FRT,
231,"Fidelity National Information Services, Inc.",FIS,
232,Fifth Third Bancorp,FITB,
233,First Republic Bank,FRCB,
234,"First Solar, Inc.",FSLR,
235,FirstEnergy Corp.,FE,
236,"Fiserv, Inc.",FI,
237,Flowserve Corporation,FLS,
238,Fluor Corporation,FLR,
239,"Foot Locker, Inc.",FL,
240,Ford Motor Company,F,
241,"Fortinet, Inc.",FTNT,
242,Fortive Corporation,FTV,
243,"Fortune Brands Innovations, Inc.",FBIN,
244,"Fossil Group, Inc.",FOSL,
245,Fox Corporation,FOX,
246,"Franklin Resources, Inc.",BEN,
247,Freeport-McMoRan Inc.,FCX,
248,"Frontier Communications Parent, Inc.",FYBR,
249,GE HealthCare Technologies Inc.,GEHC,
250,GameStop Corp.,GME,
251,Garmin Ltd.,GRMN,
252,"Gartner, Inc.",IT,
253,Gen Digital Inc.,GEN,
254,Generac Holdings Inc.,GNRC,
255,General Dynamics Corporation,GD,
256,General Electric Company,GE,
257,"General Mills, Inc.",GIS,
258,General Motors Company,GM,
259,Genuine Parts Company,GPC,
260,"Gilead Sciences, Inc.",GILD,
261,Global Payments Inc.,GPN,
262,Globe Life Inc.,GL,
263,"H&R Block, Inc.",HRB,
264,"HCA Healthcare, Inc.",HCA,
265,HF Sinclair Corporation,DINO,
266,HP Inc.,HPQ,
267,Halliburton Company,HAL,
268,Hanesbrands Inc.,HBI,
269,"Harley-Davidson, Inc.",HOG,
270,"Harman International Industries, Incorporated",HAR,Y
271,"Hasbro, Inc.",HAS,
272,"Healthpeak Properties, Inc.",DOC,
273,"Helmerich & Payne, Inc.",HP,
274,"Henry Schein, Inc.",HSIC,
275,Hess Corporation,HES,
276,Hewlett Packard Enterprise Company,HPE,
277,Hilton Worldwide Holdings Inc.,HLT,
278,"Hologic, Inc.",HOLX,
279,Honeywell International Inc.,HON,
280,Hormel Foods Corporation,HRL,
281,"Host Hotels & Resorts, Inc.",HST,
282,Howmet Aerospace Inc.,HWM,
